,2014,2015,2016,2017,2018
Unknown,103,19,12,18,30
AA,5,3,2,3,
AE,89,90,95,70,71
AK,402,399,497,497,620
AL,"1,204","1,157","1,554","1,357","1,382"
AP,24,20,22,22,18
AR,878,809,"1,045",971,706
AZ,"2,535","2,651","2,302","2,090","2,279"
CA,"13,846","14,390","15,463","14,789","14,111"
CO,"4,515","4,045","3,657","3,421","3,235"
CT,"2,199","2,171","2,891","2,633","2,075"
DC,767,743,697,633,570
DE,301,244,223,249,298
FL,"12,876","12,986","13,971","12,425","11,317"
FM,1,1,2,1,1
GA,"4,621","4,611","5,583","4,758","4,820"
gu,,1,,1,3
HI,618,624,639,719,702
IA,"1,273","1,214","1,102","1,188","1,101"
ID,553,561,647,504,362
IL,"4,857","4,809","4,694","5,511","4,363"
IN,"2,409","2,422","2,941","2,692","2,578"
KS,972,"1,012","1,102","1,093","1,091"
KY,"1,039",996,"1,205","1,319","1,175"
LA,"2,035","2,107","2,171","2,086","1,857"
MA,"4,364","3,980","4,948","4,590","4,548"
MD,"3,097","2,981","3,007","2,968","2,881"
ME,555,456,437,425,398
MI,"2,797","2,943","2,933","2,801","3,226"
MN,"1,656","1,570","1,563","1,402","1,224"
MO,"1,857","1,738","1,602","1,693","1,504"
MS,660,645,640,644,583
MT,235,227,274,225,206
NC,"4,490","4,317","4,464","4,165","3,984"
ND,57,55,52,60,48
NE,530,540,538,536,565
NH,817,771,800,718,657
NJ,"4,148","3,991","4,191","3,864","3,822"
NM,690,715,748,755,730
NV,834,767,742,721,707
NY,"7,664","7,263","7,869","7,562","7,246"
OH,"3,253","3,532","3,964","4,002","3,764"
OK,886,936,828,813,697
OR,941,945,"1,280","1,391","1,404"
Outside Country,"1,151","1,506","1,726","1,920","2,035"
PA,"3,579","3,799","4,127","3,936","4,034"
PR,4,2,4,5,9
RI,508,453,453,353,325
SC,"1,430","1,452","1,553","1,499","1,503"
SD,98,105,114,109,97
TN,"2,682","2,588","2,974","2,765","2,681"
TX,"15,395","15,189","17,562","16,733","14,722"
UT,"1,350","1,290","1,347","1,210","1,119"
VA,"5,529","5,492","6,099","5,615","5,603"
Vi,,3,2,1,5
VT,180,156,158,161,164
WA,"2,405","2,411","2,509","2,393","2,385"
WI,"2,063","2,092","2,107","2,030","2,091"
WV,147,147,141,145,140
WY,115,116,117,83,78
Total,"134,289","133,258","144,390","137,343","129,950"
